Section	Faculty Code	Faculty Name	Room	Day	Time
A			727	sat	14:00 - 16:30
B	NaFS	Nahin F. Siddiqui	727	sun	08:30 - 11:00
C	SYH	Shahil Yasar Haque	827	mon	14:00 - 16:30
D	MEHq	Md. Enamul Haque	727	mon	08:30 - 11:00
E	FzAn	Fairoz Anika	530	tue	11:11 - 13:40
F	MEHq	Md. Enamul Haque	530	mon	14:00 - 16:30
G	SYH	Shahil Yasar Haque	530	mon	11:11 - 13:40
H	ABF	Abu Bakar Fahad	826	mon	11:11 - 13:40
I	NaFS	Nahin F. Siddiqui	927	wed	14:00 - 16:30
J			627	sat	08:30 - 11:00
