Section	Faculty Code	Faculty Name	Room	Day	Time
A	MSTR	Md. Shafqat Talukder	410	sat	11:11 - 12:30
B	MSTR	Md. Shafqat Talukder	406	sun	15:11 - 16:30
C			403	sat	12:31 - 13:50
D	MSTR	Md. Shafqat Talukder	405	sun	09:51 - 11:10
E			330	sat	13:51 - 15:10
F	ArBh	Arnab Bhattacharjee	405	sun	11:11 - 12:30
H	ArBh	Arnab Bhattacharjee	405	sun	12:31 - 13:50
I			404	sun	08:30 - 09:50
J			805	sat	09:51 - 11:10
K			405	sun	08:30 - 09:50
